meaning_id,mean
1,අනියමාර්ථ විශේෂණය
2,ඉංග්‍රීසි හෝඩියේ මුල් අකුර
3,උඩ
4,තුළ
5,නැති
6,මත
7,රහිත
8,විද්‍යුතය මනින ඒකකය
9,විරුද්ධාර්ථය අඟවන උපසර්ගයක්
10,පරමාණු බෝම්බය
11,නිර්ගතික
12,තාදාත්ම්‍ය විඝටනය
13,බ්‍රිතාන්‍ය වාණිජ මණ්ඩලීය සමාගම
14,වරලත් ගණකාධිකාරී ආයතනයේ ආශ්‍රිත සාමාක
15,අධිවෘක්ක බාහික භරණ හෝමෝනය
16,ඇඩ්‍රිනොකෝටිකෝට්‍රොපික් හෝමෝනය
17,ආසියානු සංවර්ධන බැංකුව
18,පරමාණු ශක්ති අදිකාරිය
19,ශ්‍රව්‍ය සංඛ්‍යාතය
20,ස්වයංක්‍රිය සංඛ්‍යාත පාලකය
21,ස්වයංක්‍රිය ලාභ පාලකය
22,අ සි ලි
23,ඇලම් අවක්ෂේපිත ධූලකාභය
24,පරිපාලන රෙගුලාසි
25,ඇමෙරිකන් සිවිල් ඉංජිනේරු සංගමය
26,ඇංස්ට්‍රම් ඒකකය
27,ස්වයංක්‍රිය පරිමා පාලකය
28,ආහය
29,ඇටමිදුළු
30,මිදුලුව
31,මුල පටන්
32,තෙස්තමේන්තු රහිතව
33,එළු ලොමින් සෑදූ සිරියා රෙද්ද
34,ඔටු ලොමින් සෑදූ සිරියා රෙද්ද
35,සිරියා රෙද්දෙන් මැසූ කබාය
36,ඇකිය
37,අබක
38,පස්සට
39,පස්සෙන්
40,පසුපසට
41,පුදුමයට
42,විස්මයට
43,ඇබකසය
44,කුලුණු හිස
45,ගණක චතුරස්‍රය
46,ගණක රාමුව
47,ඝණක චතුරස්‍රය
48,අවරට
49,නැවක පසු භාගයෙහි
50,ඇබ්ඇම්පියරය
51,ඇබැම්පියරය
52,නියැම්පියරය
53,අත සෝදා ගන්නවා
54,අතරමං කරනවා
55,අත්හරිනවා
56,දුරුකරනවා
57,ප්‍රතික්ෂේප කරනවා
58,පිටිපානවා
59,වගකීමක් නැති කම
60,වර්ජනය කරනවා
61,සිතුමනාපේ හැසිරීම
62,හැර දමනවා
63,අතරමං කළ
64,අත් හළ
65,අත්හළ
66,අශිෂ්ට
67,ජඩ
68,ජරාවාස
69,පාලු
70,පාළු
71,පුරං
72,ලූ
73,අත් හැර දැමූ ලෙස
74,පාළුවට
75,අත්හැර දැමීම
76,අත්හැරීම
77,ත්‍යජනය
78,පාළුවට හැරීම
79,විජභනය
80,නින්දා කරනවා
81,නිවට වෙනවා
82,පහතට හෝ යටතට හෝ අවමානයට හෝ පමුණුවනවා
83,පහත් කරනවා
84,අවමන් කිරීම
85,නින්දා කිරීම
86,පහත් කිරීම
87,යටත් කිරීම
88,අධෛර්ය්‍යයට භාජනය කරනවා
89,ලජ්ජා වෙනවා
90,ලජ්ජාවට භාජනය කරනවා
91,ලජ්ජාවීම
92,අඩු කරනවා
93,අඩු වෙනවා
94,අවකරණය කරනවා
95,අවකරණය වෙනවා
96,අස් කරනවා
97,නවත්වනවා
98,පහළ දමනවා
99,බහිනවා
100,බැස යනවා
101,වහල ජනේලය
102,වහල වීදුරුව
103,අඩු වූ
104,බැස ගිය
105,අඩු කිරීම
106,අඩුකිරීම
107,අඩුවීම
108,අවකරණය
109,නතර කිරීම
110,නැවැත්වීම
111,බැස යෑම
112,අවකාරක
113,මස් මඩුව
114,අක්ෂයෙන් එහා
115,අවාක්ෂ
116,තාපසාරාමයෙහි අධිපතිකම
117,අපේරණය
118,ආශ්‍රමාධිපතිනිය
119,කන්‍යාරාමාධිපති
120,කන්‍යාරාමාධිපතිනිය
121,අබෙවිලියානු
122,කන්‍යාරාමය
123,තාපසාරාමය
124,පල්ලිය
125,ප්‍රව්‍රත සමූහය
126,පැවිදි ආශ්‍රමය
127,මඩම
128,මඩමක පිහිටි පල්ලිය
129,ගබ්සාව
130,ආශ්‍රමාධිපති තැන
131,තාපසාරාමයේ අධිපතියා
132,පල්ලියේ අධිපතියා
133,යතීන්ද්‍රයා
134,සං ක්ෂිප්ත
135,සංක්ෂිප්ත
136,කෙටි කිරීම
137,කෙටි යෙදුම
138,කෙටි රූපය
139,කෙටි සටහන
140,සංක්ෂිප්තය
141,සංක්ෂේපණය
142,සංක්ෂේපනය
143,සැකෙවිය
144,කෙටි
145,විස්ඵෝටය
146,ඇබ්කූලෝම
147,අපත්‍යජනය කරනවා
148,නිලය අත්හරිනවා
149,රජකම අත්හරිනවා
150,රජකම අත්හැර යනවා
151,උදරය
152,බඩ
153,යටිබඩ
154,උදර
155,උදරමය
156,උදරීය
157,කුච්ඡිමය
158,මහෝදර
159,ලොකු බඩ සහිත
160,පැහැර ගන්නවා
161,පැහැර ගෙන යනවා
162,උස්සාගෙන යනවා
